16:17:29.513 [main] INFO  com.tetris.Application - Start tetris application []
16:17:33.735 [main] DEBUG o.h.c.annotations.SimpleValueBinder - building SimpleValue for figureTypeId
16:17:33.739 [main] DEBUG o.h.cfg.annotations.PropertyBinder - Building property figureTypeId
16:17:33.749 [main] DEBUG org.hibernate.cfg.BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(figure_type_id)]), figureTypeId, identity, , ...)
16:17:33.750 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(figure_type), mappingColumn=figure_structure, insertable=true, updatable=true, unique=false}
16:17:33.751 [main] DEBUG o.h.cfg.annotations.PropertyBinder - MetadataSourceProcessor property figureStructure with lazy=false
16:17:33.751 [main] DEBUG o.h.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.tetris.db.repositories.hibernateTable.FigureTypeTable:figureStructure]
16:17:33.751 [main] DEBUG o.h.c.annotations.SimpleValueBinder - building SimpleValue for figureStructure
16:17:33.752 [main] DEBUG o.h.cfg.annotations.PropertyBinder - Building property figureStructure
16:17:33.763 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(figure_type), mappingColumn=null, insertable=true, updatable=true, unique=false}
16:17:33.781 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(figure_type), mappingColumn=element, insertable=true, updatable=true, unique=false}
16:17:33.782 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(figure_type), mappingColumn=games_KEY, insertable=true, updatable=true, unique=false}
16:17:33.785 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='games_KEY', referencedColumn='null', mappedBy='null'}
16:17:33.789 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='figure_type_id', referencedColumn='', mappedBy=''}
16:17:33.789 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='game_id', referencedColumn='', mappedBy=''}
16:17:33.790 [main] DEBUG o.h.cfg.annotations.CollectionBinder - Collection role: com.tetris.db.repositories.hibernateTable.FigureTypeTable.games
16:17:33.793 [main] DEBUG o.h.cfg.annotations.PropertyBinder - Building property games
16:17:33.801 [main] DEBUG org.hibernate.cfg.AnnotationBinder - Binding entity from annotated class: com.tetris.db.repositories.hibernateTable.GameTable
16:17:33.802 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
16:17:33.802 [main] DEBUG o.h.cfg.annotations.EntityBinder - Import with entity name GameTable
16:17:33.802 [main] DEBUG o.h.cfg.annotations.EntityBinder - Bind entity com.tetris.db.repositories.hibernateTable.GameTable on table Game_table
16:17:33.811 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Game_table), mappingColumn=game_id, insertable=true, updatable=true, unique=false}
16:17:33.812 [main] DEBUG o.h.cfg.annotations.PropertyBinder - MetadataSourceProcessor property gameId with lazy=false
16:17:33.812 [main] DEBUG o.h.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.tetris.db.repositories.hibernateTable.GameTable:gameId]
16:17:33.812 [main] DEBUG o.h.c.annotations.SimpleValueBinder - building SimpleValue for gameId
16:17:33.812 [main] DEBUG o.h.cfg.annotations.PropertyBinder - Building property gameId
